commodity_name,market,price_type,date,price_usd,unit,uuid
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1997-02-01,3246.81,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1997-01-01,3234.52,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-12-01,3262.67,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-11-01,3448.73,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-10-01,3691.62,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-09-01,3546.67,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-08-01,3366.39,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-07-01,3231.84,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-06-01,2977.75,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-05-01,2903.74,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-04-01,2793.74,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-03-01,2742.93,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-02-01,2714.47,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1996-01-01,2624.7,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-12-01,2583.96,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-11-01,2895.59,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-10-01,2800.14,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-09-01,2736.0,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-08-01,2737.42,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-07-01,2727.37,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-06-01,2463.64,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-05-01,2431.65,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-04-01,2448.46,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-03-01,2391.35,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-02-01,2356.49,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1995-01-01,2438.06,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-12-01,2466.13,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-11-01,2450.22,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-10-01,2484.32,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-09-01,2472.3,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-08-01,2481.99,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-07-01,2576.24,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-06-01,2547.31,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-05-01,2500.66,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-04-01,2468.07,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-03-01,2511.42,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-02-01,2583.01,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1994-01-01,2640.45,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-12-01,2712.77,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-11-01,2759.43,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-10-01,2537.95,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-09-01,2532.63,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-08-01,2535.66,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-07-01,2521.7,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-06-01,2454.99,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-05-01,2406.04,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-04-01,2209.54,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-03-01,2189.27,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-02-01,2161.99,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1993-01-01,2205.98,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-12-01,2221.99,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-11-01,2107.67,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-10-01,2166.42,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-09-01,2116.03,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-08-01,2019.27,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-07-01,2041.37,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-06-01,2026.27,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-05-01,1844.82,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-04-01,1781.94,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-03-01,1837.78,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-02-01,1802.53,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1992-01-01,1720.97,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-12-01,1663.33,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-11-01,1670.47,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-10-01,1529.44,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-09-01,1543.19,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-08-01,1525.17,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-07-01,1522.8,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-06-01,1642.62,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-05-01,1637.8,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-04-01,1635.53,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-03-01,1782.09,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-02-01,1889.2,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1991-01-01,1959.11,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-12-01,2340.93,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-11-01,2340.93,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-10-01,2340.93,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-09-01,2327.18,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-08-01,2327.18,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-07-01,2327.18,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-06-01,2292.06,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-05-01,2322.6,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-04-01,2208.06,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-03-01,2015.65,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-02-01,2092.0,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
"New Zealand, Meat: Ovine (Lamb Average Export Value)",New Zealand,EXPORT,1990-01-01,1942.34,tonne,95d29249-97cb-4f31-b0c3-50615da5813a
