date,price_usd,commodity_name,country,market,price_type,unit
2024-02-01,0.59,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-03-01,0.58,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-04-01,0.57,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-05-01,0.57,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-06-01,0.57,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-07-01,0.56,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-08-01,0.56,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-09-01,0.56,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-10-01,0.57,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-11-01,0.58,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2024-12-01,0.58,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-01-01,0.58,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-02-01,0.59,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-03-01,0.59,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-04-01,0.59,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-05-01,0.59,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-06-01,0.6,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-07-01,0.6,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-08-01,0.61,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-09-01,0.62,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2025-10-01,0.64,Milk (fresh),Uzbekistan,National Average,RETAIL,Liter
2019-01-01,0.4,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-02-01,0.41,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-03-01,0.4,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-04-01,0.39,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-05-01,0.36,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-06-01,0.33,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-07-01,0.32,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-08-01,0.43,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-09-01,0.33,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-10-01,0.35,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-11-01,0.37,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2019-12-01,0.4,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-01-01,0.41,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-02-01,0.41,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-03-01,0.42,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-04-01,0.41,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-05-01,0.44,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-06-01,0.44,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-07-01,0.43,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-08-01,0.42,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-09-01,0.41,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-10-01,0.42,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-11-01,0.43,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2020-12-01,0.45,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-01-01,0.45,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-02-01,0.46,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-03-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-04-01,0.49,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-05-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-06-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-07-01,0.47,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-08-01,0.47,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-09-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-10-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-11-01,0.49,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2021-12-01,0.48,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-01-01,0.5,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-02-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-03-01,0.5,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-04-01,0.49,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-05-01,0.49,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-06-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-07-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-08-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-09-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-10-01,0.51,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-11-01,0.52,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2022-12-01,0.53,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-01-01,0.59,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-02-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-03-01,0.61,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-04-01,0.62,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-05-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-06-01,0.62,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-07-01,0.62,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-08-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-09-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-10-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-11-01,0.61,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2023-12-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-01-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-02-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-03-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-04-01,0.59,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-05-01,0.58,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-06-01,0.57,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-07-01,0.56,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-08-01,0.56,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-09-01,0.56,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-10-01,0.57,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-11-01,0.59,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2024-12-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-01-01,0.6,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-02-01,0.62,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-03-01,0.62,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-04-01,0.63,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-05-01,0.63,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-06-01,0.63,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-07-01,0.64,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-08-01,0.65,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-09-01,0.67,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
2025-10-01,0.7,Milk (fresh),Uzbekistan,Tashkent Region,RETAIL,Liter
